Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding
1CKfCj9izL24zGTrO6QTFE,Love Is The Way,Love Is The Way,Thee Sacred Souls,2022-10-20,179836,69,12183928166,2025-02-16T04:40:55Z,retro soul,Penrose / Daptone Records,0.666,0.498,4.0,-8.468,1.0,0.0254,0.457,0.0,0.144,0.765,96.69,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
1h8idoR6jWpwnKBv6ADnYN,Queens Highway,The Exciting Sounds of Menahan Street Band,Menahan Street Band,2021-02-26,67720,64,12183928166,2025-02-16T04:40:56Z,retro soul,Daptone Records,0.781,0.396,10.0,-8.975,0.0,0.0871,0.0624,0.876,0.103,0.334,137.271,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
1gPeJMO7Az6ZtzHiaKUTWb,Opendoors,Honeycomb,Jitwam,2019-05-03,162102,71,12183928166,2025-02-16T04:40:56Z,"lo-fi house,indie jazz",Tartelet Records,0.725,0.521,9.0,-10.248,0.0,0.136,0.565,0.275,0.178,0.403,114.038,4.0,"['lo-fi house', 'indie jazz']","[0.23156270384788513, -0.19151413440704346, 0.4824700206518173, 0.8735775798559189, 1.3777793943881989, 1.193349190056324, -0.08306808769702911, -1.4216579794883728, -0.16631438676267862, 0.8901777248829603, -1.385472297668457, -0.03146786987781525, 0.004410535097122192, -0.14180827140808105, 0.43595809303224087, 0.04889857769012451]"
2MnSPY2QYMbtkDWGzY02In,Asc. Scorpio,Asc. Scorpio,Oracle Sisters,2020-03-11,166601,64,12183928166,2025-02-16T04:40:57Z,,22TWENTY,0.762,0.6,2.0,-6.636,1.0,0.0431,0.0717,0.00711,0.0995,0.819,80.206,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0Lf2PlT8IPAaWc59a2fWU6,For James,The Celestial Suite,Pale Jay,2021-10-22,83046,64,12183928166,2025-02-16T04:41:00Z,retro soul,PLYGRND,0.253,0.674,3.0,-6.929,0.0,0.0331,0.22,0.734,0.0986,0.436,81.871,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
59QJsTw38Jj13WnR1qz1MC,Got To Be Good,On The Inside,"Gotts Street Park,Pip Millett",2023-10-13,159933,71,12183928166,2025-02-24T21:04:38Z,"alternative r&b,neo soul",Blue Flowers Music,0.718,0.504,5.0,-9.119,1.0,0.0433,0.37,0.00955,0.127,0.675,89.945,4.0,"['alternative r&b', 'neo soul']","[-0.4178805872797966, -1.019891083240509, -0.6114754602313042, 0.6647661328315735, 0.3733787536621094, -0.4935760647058487, -1.5848650336265564, -1.7634402513504028, 0.4735758304595947, 0.4906997010111809, -0.48985645174980164, 1.4111425280570984, 0.44643978029489517, -0.4338096082210541, 0.01963937282562256, 0.19403795897960663]"
5crkOzXbUZ5SOSkSat7g4T,Lou's Tune,Lou's Tune,"DARGZ,Moses Boyd",2021-09-10,102634,66,12183928166,2025-02-24T21:37:13Z,"nu jazz,jazz,indie jazz",Papercup Records,0.527,0.643,10.0,-8.072,0.0,0.0355,7.61e-05,0.725,0.174,0.844,75.036,4.0,"['nu jazz', 'jazz', 'indie jazz']","[0.0830039381980896, -0.04340871671835581, 0.8283508618672689, 0.4480138619740804, 0.6717448035875956, 1.0976653099060059, -0.5273123184839884, -1.3873508771260579, -0.5213521476835012, 1.7661245266596477, -1.61237370967865, 0.256753866871198, 0.448047677675883, -0.672787273923556, 0.1301070749759674, -0.34552011638879776]"
3taMsBBraU23lStSSq3QuH,Under The Magnolia Tree,The Celestial Suite,Pale Jay,2021-10-22,187295,70,12183928166,2025-02-24T21:37:23Z,retro soul,PLYGRND,0.543,0.699,6.0,-4.685,0.0,0.0309,0.315,0.526,0.123,0.557,172.144,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
34VDj911PQh8B1BXYoOMLq,Running Away,Running Away,Thee Sacred Souls,2023-03-21,195086,63,12183928166,2025-02-24T21:37:36Z,retro soul,Penrose / Daptone Records,0.546,0.646,2.0,-6.735,1.0,0.0394,0.309,0.000207,0.274,0.792,139.08,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
72VliVsh3slpViyWTgRtgs,Got Caught in Amsterdam,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,Arc De Soleil,2019-10-18,170903,67,12183928166,2025-02-24T21:39:38Z,,Epidemic Sound,0.66,0.808,2.0,-6.233,1.0,0.0576,0.0453,0.814,0.348,0.961,157.049,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
