Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,similarity_score,fit_probability
2Ij4PtXhIlI2uIP4slvnUA,Starchild,Starchild,Common Saints,2021-08-12,259680,41,rüfüs,2022-08-03T00:41:53Z,retro soul,Starsonics,0.633,0.536,11.0,-10.307,0.0,0.0278,0.179,0.245,0.0996,0.593,125.963,4.0,['retro soul'],"[ 0.78425169  0.59148914  0.53987908  0.27202147  0.19074158  1.81302285
 -0.5800072  -0.60082352  0.10721627  1.31290162 -1.18844843  0.06842642
  0.10598302 -1.24955499  0.62743872  0.34792095]",0.78425169,0.59148914,0.53987908,0.27202147,0.19074158,1.81302285,-0.5800072,-0.60082352,0.10721627,1.31290162,-1.18844843,0.06842642,0.10598302,-1.24955499,0.62743872,0.34792095,0.8120722293469101,0.6148446
32L9L0Hg4skEWlog49n1a3,I Won't Let You Down,I Won't Let You Down,Curtis Harding,2021-07-07,244200,42,rüfüs,2021-07-25T22:18:44Z,retro soul,Anti/Epitaph,0.586,0.531,2.0,-6.738,0.0,0.0299,0.627,0.413,0.0968,0.823,180.457,4.0,['retro soul'],"[ 0.78425169  0.59148914  0.53987908  0.27202147  0.19074158  1.81302285
 -0.5800072  -0.60082352  0.10721627  1.31290162 -1.18844843  0.06842642
  0.10598302 -1.24955499  0.62743872  0.34792095]",0.78425169,0.59148914,0.53987908,0.27202147,0.19074158,1.81302285,-0.5800072,-0.60082352,0.10721627,1.31290162,-1.18844843,0.06842642,0.10598302,-1.24955499,0.62743872,0.34792095,0.7382836191945665,0.6315267
5d9tAMC29atpCh4WhdEry6,Love the Way,Andrew Ashong EP,Andrew Ashong,2014-01-27,321520,14,rüfüs,2020-09-18T23:08:05Z,indie jazz,Which Way Records,0.722,0.413,4.0,-13.28,1.0,0.0324,0.606,0.00437,0.148,0.8,101.984,4.0,['indie jazz'],"[ 1.08101857  0.35798192  0.58160156  0.29466948  0.80894107  2.20656657
 -0.48977929 -1.02353501 -0.0278707   1.83695066 -1.2708385  -0.19040367
  0.37729529 -1.4759016   0.92003495  0.04340304]",1.08101857,0.35798192,0.58160156,0.29466948,0.80894107,2.20656657,-0.48977929,-1.02353501,-0.0278707,1.83695066,-1.2708385,-0.19040367,0.37729529,-1.4759016,0.92003495,0.04340304,0.8244350019256599,0.71623987
4SapTBp8h5C6NzepnbJ6GQ,Take It Slow,Flowers,Andrew Ashong,2012-09-14,427825,1,rüfüs,2020-07-18T00:54:17Z,indie jazz,Sound Signature,0.91,0.542,5.0,-5.687,0.0,0.0496,0.124,0.144,0.0758,0.662,108.031,4.0,['indie jazz'],"[ 1.08101857  0.35798192  0.58160156  0.29466948  0.80894107  2.20656657
 -0.48977929 -1.02353501 -0.0278707   1.83695066 -1.2708385  -0.19040367
  0.37729529 -1.4759016   0.92003495  0.04340304]",1.08101857,0.35798192,0.58160156,0.29466948,0.80894107,2.20656657,-0.48977929,-1.02353501,-0.0278707,1.83695066,-1.2708385,-0.19040367,0.37729529,-1.4759016,0.92003495,0.04340304,0.6865062352982528,0.64774424
3dvXRk7TZ929m21p49RR5P,Mariella,Texas Moon,"Khruangbin,Leon Bridges",2022-02-18,310553,69,,2025-02-14T17:00:14Z,retro soul,Dead Oceans,0.593,0.576,2.0,-10.331,1.0,0.032,0.526,0.718,0.0827,0.559,109.935,4.0,['retro soul'],"[ 0.78425169  0.59148914  0.53987908  0.27202147  0.19074158  1.81302285
 -0.5800072  -0.60082352  0.10721627  1.31290162 -1.18844843  0.06842642
  0.10598302 -1.24955499  0.62743872  0.34792095]",0.78425169,0.59148914,0.53987908,0.27202147,0.19074158,1.81302285,-0.5800072,-0.60082352,0.10721627,1.31290162,-1.18844843,0.06842642,0.10598302,-1.24955499,0.62743872,0.34792095,0.835903468761257,0.64014596
4WOfRya3PSbwNk0ZTU8ent,Atlanta,Atlanta,Brother Zulu,2024-03-15,183076,24,,2024-03-15T04:01:00Z,retro soul,Brother Zulu,0.739,0.566,11.0,-6.263,0.0,0.087,0.277,0.0106,0.493,0.409,103.978,4.0,['retro soul'],"[ 0.78425169  0.59148914  0.53987908  0.27202147  0.19074158  1.81302285
 -0.5800072  -0.60082352  0.10721627  1.31290162 -1.18844843  0.06842642
  0.10598302 -1.24955499  0.62743872  0.34792095]",0.78425169,0.59148914,0.53987908,0.27202147,0.19074158,1.81302285,-0.5800072,-0.60082352,0.10721627,1.31290162,-1.18844843,0.06842642,0.10598302,-1.24955499,0.62743872,0.34792095,0.7046142705181918,0.6094137
407qAIie8sIEgquKD1AAd2,Shy,Good Thing,Leon Bridges,2018-05-04,194493,56,frosty480,2018-09-29T17:50:43Z,retro soul,Columbia,0.803,0.498,8.0,-5.389,0.0,0.0634,0.279,1.33e-06,0.161,0.832,92.032,4.0,['retro soul'],"[ 0.78425169  0.59148914  0.53987908  0.27202147  0.19074158  1.81302285
 -0.5800072  -0.60082352  0.10721627  1.31290162 -1.18844843  0.06842642
  0.10598302 -1.24955499  0.62743872  0.34792095]",0.78425169,0.59148914,0.53987908,0.27202147,0.19074158,1.81302285,-0.5800072,-0.60082352,0.10721627,1.31290162,-1.18844843,0.06842642,0.10598302,-1.24955499,0.62743872,0.34792095,0.8154069844734492,0.71922374
5d9tAMC29atpCh4WhdEry6,Love the Way,Andrew Ashong EP,Andrew Ashong,2014-01-27,321520,14,frosty480,2020-05-10T16:26:42Z,indie jazz,Which Way Records,0.722,0.413,4.0,-13.28,1.0,0.0324,0.606,0.00437,0.148,0.8,101.984,4.0,['indie jazz'],"[ 1.08101857  0.35798192  0.58160156  0.29466948  0.80894107  2.20656657
 -0.48977929 -1.02353501 -0.0278707   1.83695066 -1.2708385  -0.19040367
  0.37729529 -1.4759016   0.92003495  0.04340304]",1.08101857,0.35798192,0.58160156,0.29466948,0.80894107,2.20656657,-0.48977929,-1.02353501,-0.0278707,1.83695066,-1.2708385,-0.19040367,0.37729529,-1.4759016,0.92003495,0.04340304,0.8244350019256599,0.71623987
