Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,genres_list,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,similarity_score,fit_probability,fit_score,ridge_fitness_score,fitness_score_normalized,is_playlist_song,glm_probability,glm_score_normalized,cluster,cluster_score,combined_score
2jkVelt7eJ97qgOqVKh4vG,Take You Home,Other,Other,2022,1.4359908528725922,-1.2023670984583499,,Other,0.804,0.93,-7.905,0.0524,0.00241,0.888,0.0851,0.517,126.012,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9244983649333373,0.88021696,0,0.07939919028828465,88.15515164011249,0,0.01210799410665374,1.210799410665374,G,16.176470588235293,47.67610976090292
0T14PHHRDQMktQovbNdN6F,Fixer - Original Mix,Other,Other,2022,2.1601534818037598,-1.1617076111934925,,Other,0.794,0.877,-8.994,0.0824,0.0598,0.846,0.0906,0.503,125.998,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9295054714588304,0.8750352,0,0.06888799526452563,81.55281083458715,0,0.012382764050836752,1.2382764050836752,G,16.176470588235293,44.38318245646573
7F2eNxJ5ZrGAwd83sIhBud,Lick It,Other,Other,2024,1.9007840085038141,-0.02324196777748591,,Other,0.759,0.919,-7.242,0.0387,0.000614,0.0125,0.0375,0.731,131.994,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032311681998982,0.861117,0,0.062456407141189066,77.51297172827672,0,0.014219038698827423,1.4219038698827422,B,20.588235294117645,43.30070408392671
0txMngSCPdnyZhNbhp2yNK,Emotion,Other,Other,2021,-1.058000900321549,-1.2023670984583499,,Other,0.675,0.976,-2.342,0.0536,0.0101,0.885,0.0995,0.66,125.012,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849363496738112,0.86647457,0,0.0602391577634884,76.1202627157116,0,0.014232286249923768,1.4232286249923767,C,22.058823529411764,42.89886465123587
2EOUqsDVpQyuYQ9no60Kqd,Exodus,Other,Other,2021,-0.5573488661231635,-1.2023670984583499,,Other,0.79,0.923,-5.214,0.0902,0.17,0.889,0.33,0.482,124.018,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8586935733095651,0.8435033,0,0.05455436000336862,72.5495010527456,0,0.012487068271001501,1.24870682710015,D,8.823529411764707,38.41406845685579
4nCO6fJEjqZv7OJzV7LBEd,The Clown's Corridor,Other,Other,2024,1.2599359070340586,0.09873649401708622,,Other,0.813,0.631,-7.976,0.124,0.00179,0.9,0.114,0.523,127.01,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905912865647095,0.8696955,0,0.05246725023813732,71.23853594007764,0,0.009002958471831043,0.9002958471831043,J,7.352941176470589,37.35994495948787
1xNBT7Ot076eta7KHJYX57,Lady (Hear Me Tonight) - Sped Up,Other,Other,2023,-0.3144915740454879,0.3020339303413731,,Other,0.802,0.626,-10.726,0.0639,0.000177,5.25e-06,0.104,0.962,132.485,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8155217816225246,0.82587475,0,0.04168595525104904,64.46653868679077,0,0.010226699442192132,1.0226699442192133,B,20.588235294117645,36.65771738548468
3rMDRBX2O0roxSAggl4zJt,The Break Up Song,Other,Other,Other,-0.7757528326032814,0.3020339303413731,,Other,0.673,0.918,-2.16,0.0299,0.0295,1.84e-06,0.112,0.964,141.599,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7910680121097984,0.8468805,0,0.046231437934239235,67.32166845388198,0,0.016430623645187572,1.6430623645187572,H,1.4705882352941175,34.447870583355446
3RaQdN2rGWm2AOsN7vuWQ4,Jurassic,Other,Other,2018,-0.7733457435150214,-1.1617076111934925,,Other,0.682,0.789,-4.733,0.05,0.000179,0.689,0.0856,0.272,149.991,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858528630694701,0.8501994,0,0.0448211180849149,66.4358117773586,0,0.011087409804092797,1.1087409804092796,H,1.4705882352941175,33.84464582986091
4fybrsncXplmYWu6UFEA8H,Sauce,Other,Other,Other,-0.8768280781504999,-1.1210481239286352,,Other,0.886,0.503,-7.326,0.242,0.0056,0.824,0.276,0.863,94.991,[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7596864246651884,0.7275637,0,0.039152246531905265,62.87505375782635,0,0.011408703832219135,1.1408703832219136,J,7.352941176470589,33.25037622917387
