Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,new_cluster_label
7hdQyiOV1BGk0A396zZ5xG,The Emptiness Machine,Over Each Other,Linkin Park,2024-10-24,190427,47,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,4,"['nu metal', 'rap metal', 'rock', 'alternative metal']","[0.10342534631490707, -0.27066272869706154, -0.04117414355278015, 1.74568709731102, 0.7063010260462761, 0.4290051907300949, -1.5082664638757706, -0.16944288276135921, -0.07099102810025215, 0.9213438928127289, -0.5198734849691391, 0.7055672109127045, 0.12803301960229874, -1.1705101281404495, 0.5973426168784499, 1.159376472234726]",0.10342534631490707,-0.27066272869706154,-0.04117414355278015,1.74568709731102,0.7063010260462761,0.4290051907300949,-1.5082664638757706,-0.16944288276135921,-0.07099102810025215,0.9213438928127289,-0.5198734849691391,0.7055672109127045,0.12803301960229874,-1.1705101281404495,0.5973426168784499,1.159376472234726,C
2nLtzopw4rPReszdYBJU6h,Numb,Meteora,Linkin Park,2003-03-25,187520,87,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,4,"['nu metal', 'rap metal', 'rock', 'alternative metal']","[0.10342534631490707, -0.27066272869706154, -0.04117414355278015, 1.74568709731102, 0.7063010260462761, 0.4290051907300949, -1.5082664638757706, -0.16944288276135921, -0.07099102810025215, 0.9213438928127289, -0.5198734849691391, 0.7055672109127045, 0.12803301960229874, -1.1705101281404495, 0.5973426168784499, 1.159376472234726]",0.10342534631490707,-0.27066272869706154,-0.04117414355278015,1.74568709731102,0.7063010260462761,0.4290051907300949,-1.5082664638757706,-0.16944288276135921,-0.07099102810025215,0.9213438928127289,-0.5198734849691391,0.7055672109127045,0.12803301960229874,-1.1705101281404495,0.5973426168784499,1.159376472234726,C
2Uvaa3IEPU7iue2cVXsMxf,What I've Done,Minutes to Midnight (Deluxe Edition),Linkin Park,2007-05-14,205447,36,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.625,0.917,5,-5.576,1,0.0313,0.0135,0.0,0.16,0.305,120.093,4,"['nu metal', 'rap metal', 'rock', 'alternative metal']","[0.10342534631490707, -0.27066272869706154, -0.04117414355278015, 1.74568709731102, 0.7063010260462761, 0.4290051907300949, -1.5082664638757706, -0.16944288276135921, -0.07099102810025215, 0.9213438928127289, -0.5198734849691391, 0.7055672109127045, 0.12803301960229874, -1.1705101281404495, 0.5973426168784499, 1.159376472234726]",0.10342534631490707,-0.27066272869706154,-0.04117414355278015,1.74568709731102,0.7063010260462761,0.4290051907300949,-1.5082664638757706,-0.16944288276135921,-0.07099102810025215,0.9213438928127289,-0.5198734849691391,0.7055672109127045,0.12803301960229874,-1.1705101281404495,0.5973426168784499,1.159376472234726,C
7M8eZBRTD9QNasEVReEM0H,IGYEIH,From Zero,Linkin Park,2024-11-15,209083,70,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.442,0.968,2,-3.417,1,0.126,0.00227,1.53e-05,0.296,0.308,159.974,4,"['nu metal', 'rap metal', 'rock', 'alternative metal']","[0.10342534631490707, -0.27066272869706154, -0.04117414355278015, 1.74568709731102, 0.7063010260462761, 0.4290051907300949, -1.5082664638757706, -0.16944288276135921, -0.07099102810025215, 0.9213438928127289, -0.5198734849691391, 0.7055672109127045, 0.12803301960229874, -1.1705101281404495, 0.5973426168784499, 1.159376472234726]",0.10342534631490707,-0.27066272869706154,-0.04117414355278015,1.74568709731102,0.7063010260462761,0.4290051907300949,-1.5082664638757706,-0.16944288276135921,-0.07099102810025215,0.9213438928127289,-0.5198734849691391,0.7055672109127045,0.12803301960229874,-1.1705101281404495,0.5973426168784499,1.159376472234726,C
6aCBjSb87RizdH8lVBIRW7,Good Things Go,From Zero,Linkin Park,2024-11-15,209844,72,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.541,0.757,2,-5.37,0,0.0421,0.00867,0.0,0.136,0.307,127.005,4,"['nu metal', 'rap metal', 'rock', 'alternative metal']","[0.10342534631490707, -0.27066272869706154, -0.04117414355278015, 1.74568709731102, 0.7063010260462761, 0.4290051907300949, -1.5082664638757706, -0.16944288276135921, -0.07099102810025215, 0.9213438928127289, -0.5198734849691391, 0.7055672109127045, 0.12803301960229874, -1.1705101281404495, 0.5973426168784499, 1.159376472234726]",0.10342534631490707,-0.27066272869706154,-0.04117414355278015,1.74568709731102,0.7063010260462761,0.4290051907300949,-1.5082664638757706,-0.16944288276135921,-0.07099102810025215,0.9213438928127289,-0.5198734849691391,0.7055672109127045,0.12803301960229874,-1.1705101281404495,0.5973426168784499,1.159376472234726,C
6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,2008-06-17,177826,80,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"punk,skate punk",Concord Records,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,4,"['punk', 'skate punk']","[0.5539957582950592, -0.29522423073649406, 1.1996105313301086, 1.5079056024551392, 1.2177857458591461, 0.0748700201511383, -0.44187459349632263, -0.061883345246315, 1.0705759674310684, 0.30802637338638306, -1.5079435110092163, 0.44156353175640106, -1.1234353482723236, -1.0196534395217896, 0.7290093004703522, 0.8285136520862579]",0.5539957582950592,-0.29522423073649406,1.1996105313301086,1.5079056024551392,1.2177857458591461,0.0748700201511383,-0.44187459349632263,-0.061883345246315,1.0705759674310684,0.30802637338638306,-1.5079435110092163,0.44156353175640106,-1.1234353482723236,-1.0196534395217896,0.7290093004703522,0.8285136520862579,J
0WhSlHpA9T6S8pKyz7DRBx,Hooked On A Feeling,Big-5 : Björn Skifs,"Blue Swede,Björn Skifs",2010-11-19,172866,23,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"classic rock, rock, swedish, 70s, oldies",Parlophone Sweden,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,4,"['classic rock', 'rock', 'swedish', '70s', 'oldies']","[-0.9753232361545088, -0.4788822092468763, 0.13777281682996545, 1.5154107039743394, 0.8146057674302938, 0.47502110060304403, -0.7100175935192965, -0.6512079705571523, -0.15102360517357738, -0.08397766577218135, -1.3053653403185308, 0.5367614534625318, -0.1163259847999143, -0.7052196401436959, 0.1974874323580309, 0.2633040032815188]",-0.9753232361545088,-0.4788822092468763,0.13777281682996545,1.5154107039743394,0.8146057674302938,0.47502110060304403,-0.7100175935192965,-0.6512079705571523,-0.15102360517357738,-0.08397766577218135,-1.3053653403185308,0.5367614534625318,-0.1163259847999143,-0.7052196401436959,0.1974874323580309,0.2633040032815188,H
6nnacTL5on2aVsRhVDNUSo,Through the Fire and Flames,Inhuman Rampage,DragonForce,2006-05-23,441560,61,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,speed metal,metal,melodic metal,symphonic metal",Roadrunner Records,0.113,0.951,0,-4.743,0,0.129,0.00176,0.00718,0.334,0.139,200.024,4,"['power metal', 'speed metal', 'metal', 'melodic metal', 'symphonic metal']","[0.05808092355728149, -0.12033286094665527, 0.3554893434047699, 1.7195427060127257, 0.750094835460186, 0.22578010857105255, -0.9394413135945797, -0.6458966314792634, 0.4644118696451187, 1.0220278948545456, -0.873087152838707, 0.7872098989784717, -0.8882385730743408, -0.7630847215652465, 0.4118504345417023, 0.16405212879180908]",0.05808092355728149,-0.12033286094665527,0.3554893434047699,1.7195427060127257,0.750094835460186,0.22578010857105255,-0.9394413135945797,-0.6458966314792634,0.4644118696451187,1.0220278948545456,-0.873087152838707,0.7872098989784717,-0.8882385730743408,-0.7630847215652465,0.4118504345417023,0.16405212879180908,B
2374M0fQpWi3dLnB54qaLX,Africa,Toto IV,TOTO,1982-04-08,295893,86,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,soft rock,Columbia,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,['soft rock'],"[0.675947904586792, -0.47318407893180847, -0.143776535987854, 1.6764289140701294, -0.9781320095062256, -0.6455601453781128, -0.22708486020565033, -2.1694984436035156, -0.4067502021789551, -0.05474810302257538, -0.02246827445924282, 1.1540923118591309, 0.1471477895975113, -1.341497540473938, 0.21486550569534302, 1.0001215934753418]",0.675947904586792,-0.47318407893180847,-0.143776535987854,1.6764289140701294,-0.9781320095062256,-0.6455601453781128,-0.22708486020565033,-2.1694984436035156,-0.4067502021789551,-0.05474810302257538,-0.02246827445924282,1.1540923118591309,0.1471477895975113,-1.341497540473938,0.21486550569534302,1.0001215934753418,F
0eZBeB2xFIS65jQHerispi,The Sound of Silence,Immortalized (Deluxe Edition),Disturbed,2015-08-14,248466,66,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"metal,nu metal,alternative metal,rap metal,hard rock,rock,heavy metal",Reprise,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,4,"['metal', 'nu metal', 'alternative metal', 'rap metal', 'hard rock', 'rock', 'heavy metal']","[0.2098320477775165, -0.05206390071128096, 0.1120438485273293, 1.722739543233599, 0.5498422766769571, 0.27767607087402474, -1.2593105882406235, -0.3471519567205438, 0.3195882113442557, 0.7071219608187675, -0.8008979145171387, 0.828182701154479, 0.025738889085394994, -1.0988540279545955, 0.5843538568754282, 0.7696491120649236]",0.2098320477775165,-0.05206390071128096,0.1120438485273293,1.722739543233599,0.5498422766769571,0.27767607087402474,-1.2593105882406235,-0.3471519567205438,0.3195882113442557,0.7071219608187675,-0.8008979145171387,0.828182701154479,0.025738889085394994,-1.0988540279545955,0.5843538568754282,0.7696491120649236,F
