Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,genres_list,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,similarity_score,fit_probability,Release Year,year_distance,year_penalty,recency_bonus,year_adjustment,year_score,year_adjustment_bin,fit_score,ridge_fitness_score,fitness_score_normalized,cosine_similarity,cosine_score_normalized,is_playlist_song,glm_probability,glm_score_normalized,cluster,cluster_score,has_metadata_match,cluster_A,cluster_D,cluster_E,cluster_B,cluster_C,cosine_score_normalized_2,cosine_score_normalized_3,cosine_score_normalized_4,cosine_score_normalized_5,cosine_score_normalized_6,cosine_score_normalized_7,fitness_score_normalized_2,nn_score,base_score
3K7vovoUvysvYih4CNKIOc,A Work of Art,A Work of Art (feat. Shavo of System of a Down),"Ice Nine Kills,SHAVO",2024,-0.1026052400196317,1.232072636530683,"['metalcore', 'metal']",Fearless Records,0.293,0.98,-2.372,0.406,0.00611,0.0,0.341,0.195,200.499,"['metalcore', 'metal']",1.1111176013946533,-0.6877364069223404,0.5598788931965828,2.1030496954917908,0.7265281677246094,-0.005322068929672241,-0.740220695734024,-0.6001464873552322,0.6838054955005646,-0.32408905774354935,-0.9279909431934357,0.2631432833150029,-0.1918582022190094,-1.1649185717105865,1.0335253477096558,0.037984251976013184,0.6355531175428483,0.6736676,2024,6,24.0,3.333333333333333,20.666666666666668,86.04651162790698,10-20%,0,0.26958087195451996,71.91857947131992,-0.08176088520062358,43.92443116332808,0,,0.0,E,35.5,0,0,0,1,0,0,43.92443116332808,43.92443116332808,43.92443116332808,43.92443116332808,43.92443116332808,43.92443116332808,71.91857947131992,1.2617135,35.221928797912675
5Ty1B6gHqh0joQx6ChbxiH,Snakecharmer,Evil Empire,Rage Against The Machine,1996,-0.14045557690155816,-0.03933820678578148,"['rap metal', 'rap rock', 'alternative metal', 'nu metal']",Epic,0.553,0.883,-7.302,0.0618,0.00732,0.0488,0.0599,0.463,136.711,"['rap metal', 'rap rock', 'alternative metal', 'nu metal']",0.8356243893504143,-0.40622857213020325,-0.09602602571249008,1.4781715422868729,0.7457454577088356,-0.014095090329647064,-1.3763571679592133,-0.31148667447268963,0.14923028089106083,0.9265082776546478,-1.0209302753210068,1.071939840912819,0.27556128054857254,-0.563032254576683,0.6427844725549221,1.136861890554428,0.6361064343653741,0.6273542,1996,22,40.0,0.0,40.0,48.837209302325576,,0,0.4303032997416824,83.37777094961356,0.16557432103180925,59.58111995053677,0,,0.0,B,34.5,0,0,0,0,1,0,59.58111995053677,59.58111995053677,59.58111995053677,59.58111995053677,59.58111995053677,59.58111995053677,83.37777094961356,31.54076,34.90209165445399
655gNlXQ7zb9jPrTuqJ4mf,Revolver,Evil Empire,Rage Against The Machine,1996,1.1365758766437444,0.1513734197116882,"['rap metal', 'rap rock', 'alternative metal', 'nu metal']",Epic,0.35,0.792,-8.214,0.0951,0.00876,0.0249,0.0661,0.156,138.38,"['rap metal', 'rap rock', 'alternative metal', 'nu metal']",0.8356243893504143,-0.40622857213020325,-0.09602602571249008,1.4781715422868729,0.7457454577088356,-0.014095090329647064,-1.3763571679592133,-0.31148667447268963,0.14923028089106083,0.9265082776546478,-1.0209302753210068,1.071939840912819,0.27556128054857254,-0.563032254576683,0.6427844725549221,1.136861890554428,0.689781726913011,0.63582504,1996,22,40.0,0.0,40.0,48.837209302325576,,0,0.416442145372957,82.38949803581865,0.17379150652256525,60.10128009229446,0,,0.0,B,34.5,0,0,0,0,1,0,60.10128009229446,60.10128009229446,60.10128009229446,60.10128009229446,60.10128009229446,60.10128009229446,82.38949803581865,16.687418,34.495508085271624
3EeYcPFHHPmeSCiXoYNGed,Cheap Beer,FIDLAR,FIDLAR,2012,-1.4318516679583755,-0.23004983328325115,"['garage rock', 'surf rock', 'indie punk']",????,0.281,0.961,-3.993,0.0568,0.000199,0.0,0.365,0.198,186.273,"['garage rock', 'surf rock', 'indie punk']",0.3703042020400365,-0.9312912325064341,0.0638267199198405,1.9920448064804077,-0.37327754497528076,-0.1643246995906035,-0.6390517354011536,-0.4777912100156148,0.599572146932284,0.587342880666256,-1.4696181540687878,0.3606143742799759,-0.29563061396280926,-1.076763282219569,0.6625962257385254,-0.007560516397158305,0.7346063505949789,0.7517372,2012,6,24.0,0.0,24.0,86.04651162790698,10-20%,0,0.3144842270745403,75.1200999524536,-0.08024159206772156,44.02060469284994,0,,0.0,E,35.5,0,0,0,1,0,0,44.02060469284994,44.02060469284994,44.02060469284994,44.02060469284994,44.02060469284994,44.02060469284994,75.1200999524536,0.8740177,34.37942740352677
1Ps1p8EztpQmxwRas27Il9,Juneau,Casually Dressed And Deep In Conversation,Funeral For A Friend,????,-0.3963834653992212,-0.16647929111742793,"['post-hardcore', 'screamo', 'emocore', 'emo', 'emo pop']",????,0.464,0.733,-3.945,0.0327,0.000309,0.0,0.162,0.229,103.28,"['post-hardcore', 'screamo', 'emocore', 'emo', 'emo pop']",0.06545532643795013,0.12234411239624024,0.2912372052669525,1.7240257740020752,0.08436694145202636,-0.20621839240193368,-0.6899659335613251,-0.7553072422742844,0.21884254664182662,0.5908886462450027,-1.497310185432434,0.0486588180065155,0.058786559104919436,-0.8384824812412262,0.6698052525520325,0.783187847957015,0.661051147807946,0.62198675,2003,15,40.0,0.0,40.0,65.11627906976744,,0,0.4549757557556625,85.13686830520089,0.15351364857826516,58.81766133077137,0,,0.0,E,35.5,0,0,0,1,0,0,58.81766133077137,58.81766133077137,58.81766133077137,58.81766133077137,58.81766133077137,58.81766133077137,85.13686830520089,0.35148376,33.955432838396305
0C71NJD4BhvPopTwI7a8KV,Seven Years,Translating the Name,Saosin,????,-0.7284811896928135,0.7870788413699205,"['post-hardcore', 'screamo', 'emo', 'emocore', 'emo pop']",????,0.249,0.941,-4.535,0.0956,2.24e-05,2.3e-06,0.327,0.223,81.686,"['post-hardcore', 'screamo', 'emo', 'emocore', 'emo pop']",0.06545532643795013,0.12234411239624024,0.2912372052669525,1.7240257740020752,0.08436694145202636,-0.20621839240193368,-0.6899659335613251,-0.7553072422742844,0.21884254664182662,0.5908886462450027,-1.497310185432434,0.0486588180065155,0.058786559104919436,-0.8384824812412262,0.6698052525520325,0.783187847957015,0.7212221498461802,0.7528365,2003,15,40.0,0.0,40.0,65.11627906976744,,0,0.27458011475692834,72.27501560352633,0.2353469474321531,63.997831643371036,0,,0.0,E,35.5,0,0,0,1,0,0,63.997831643371036,63.997831643371036,63.997831643371036,63.997831643371036,63.997831643371036,63.997831643371036,72.27501560352633,1.8186404,33.935030943575455
6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",Simple Plan,????,-0.6519387840478824,1.6134958895256224,"['pop punk', 'punk', 'emo']",????,0.527,0.834,-5.531,0.0447,0.00107,0.000102,0.0993,0.422,110.065,"['pop punk', 'punk', 'emo']",0.06437064707279205,-0.517372784515222,0.45252617200215656,1.6617250045140584,1.3477072914441426,0.07883899907271068,-0.511992484331131,-0.302655354142189,0.9040289024511973,0.6051588853200277,-1.5009513696034749,0.2934836844603221,-1.4106879035631816,-0.6788321534792582,0.4811443934837977,0.42990465958913165,0.6966921027644265,0.6654785,2002,16,40.0,0.0,40.0,62.7906976744186,,0,0.41209592062658756,82.07962080050025,0.16371155776611462,59.46320424747338,0,,0.0,B,34.5,0,0,0,0,1,0,59.46320424747338,59.46320424747338,59.46320424747338,59.46320424747338,59.46320424747338,59.46320424747338,82.07962080050025,0.34599045,33.729076363311705
5wx5aqVGgv1jWLoGFKFdWM,Club Foot,Kasabian,Kasabian,2004,-0.4306046959742039,-0.5479025441123673,"['britpop', 'indie', 'indie rock']",RCA Records Label,0.238,0.919,-6.893,0.0816,0.0257,2.31e-05,0.0914,0.123,101.752,"['britpop', 'indie', 'indie rock']",-0.015889164258818367,-0.3406709215756667,0.45603238440468125,1.404201631883592,-0.038396736002498565,0.16828676837944742,-1.1061233731563995,-0.8757104846223963,0.41917552463704316,0.46356435973398585,-1.2153251740950453,0.19612367169067332,0.28223264181732005,-0.8936724206109075,1.1309724001844603,0.5238487294820698,0.7240496993435354,0.66593456,2004,14,40.0,0.0,40.0,67.44186046511628,,0,0.2911599960608905,73.45712837500012,0.217911825771743,62.89416234387134,0,,0.0,E,35.5,0,0,0,1,0,0,62.89416234387134,62.89416234387134,62.89416234387134,62.89416234387134,62.89416234387134,62.89416234387134,73.45712837500012,1.6555145,33.71013313619234
2teaBsajEi4BWAZOD92vmS,Wild in the Streets,Wild in the Streets,Circle Jerks,????,-1.293310879662881,0.08780287754586497,"['punk', 'hardcore punk', 'skate punk', 'hardcore']",????,0.454,0.994,-2.498,0.0368,0.00107,0.0,0.3,0.383,103.681,"['punk', 'hardcore punk', 'skate punk', 'hardcore']",0.6755535379052162,0.09289520513266325,0.2546142463106662,2.023931384086609,0.7990324818529189,-0.2504345774650574,-0.29225837101694196,-0.8929359093308449,0.3989241197705269,0.08291647210717201,-0.9680093228816986,0.2970292717218399,-0.6265443563461304,-0.9662530571222305,0.14233040064573288,0.8555552214384079,0.7154903863937456,0.71278274,1982,36,40.0,0.0,40.0,16.279069767441854,,0,0.35859230357795463,78.26491863986905,0.17324726156159515,60.066828571592204,0,,0.0,E,35.5,0,0,0,1,0,0,60.066828571592204,60.066828571592204,60.066828571592204,60.066828571592204,60.066828571592204,60.066828571592204,78.26491863986905,9.826734,33.65859808585244
1bujdcYDzWPyJHUiL6PXul,Act Appalled,Juturna,Circa Survive,????,-0.6178969389557525,0.08780287754586497,"['post-hardcore', 'screamo', 'emo']",????,0.38,0.924,-5.782,0.0719,0.000173,2.33e-06,0.176,0.28,153.99,"['post-hardcore', 'screamo', 'emo']",-0.08589052657286327,-0.3894130190213521,0.41620389372110367,1.6026440858840942,0.5832512875398,-0.34964896366000175,-0.6652323106924692,-0.542514498035113,-0.11924844980239868,1.1759534279505413,-1.4672367572784424,-0.33464158574740094,-0.3465432624022166,-0.9283123115698496,1.1734180847803752,1.2128482858339946,0.7315554829166987,0.68709487,2005,13,40.0,0.0,40.0,69.76744186046511,,0,0.3664484536757053,78.82504661635505,0.1742232617341371,60.12861084347545,0,,0.0,E,35.5,0,0,0,1,0,0,60.12861084347545,60.12861084347545,60.12861084347545,60.12861084347545,60.12861084347545,60.12861084347545,78.82504661635505,1.6056591,33.51822666992148
